order_date,order_value,quantity,discount_amount,shipping_cost,product_category,payment_method,shipping_type,promotion_code,return_flag,day_of_week,day_name,month,quarter,is_weekend,hour_of_day,week_of_year,season,recency_days,frequency,monetary_total,avg_order_value,customer_return_rate,total_returns,product_return_rate,category_return_rate,customer_hist_return_rate,value_per_item,discount_rate,shipping_ratio
2023-01-06 10:00:00,312.9,3,2.5,7.99,Clothing,PayPal,Express,FLASHSALE,0,4,Friday,1,1,0,10,1,Winter,33,2,358.28,179.14,0.0,0,0.087,0.0763,0.0,104.2999652333449,0.007989773064909642,0.02553531471545122
2023-01-08 20:00:00,45.38,2,38.05,18.67,Sports,PayPal,Express,FLASHSALE,0,6,Sunday,1,1,1,20,1,Winter,33,2,358.28,179.14,0.0,0,0.087,0.075,0.0,22.68998865500567,0.838475080685873,0.41141471107503946
2023-01-29 12:00:00,407.77,4,44.52,7.62,Clothing,Credit Card,Express,SUMMER20,0,6,Sunday,1,1,1,12,4,Winter,13,1,407.77,407.77,0.0,0,0.087,0.0763,0.0,101.94247451438136,0.10917919388581998,0.018687004883422016
2023-01-20 08:00:00,173.17,3,9.96,12.02,Books,Bank Transfer,Standard,WELCOME10,0,4,Friday,1,1,0,8,3,Winter,22,1,173.17,173.17,0.0,0,0.087,0.0964,0.0,57.72331409222863,0.05751573564984851,0.06941156049309026
2023-01-21 15:00:00,380.08,2,18.42,13.0,Home,PayPal,Standard,SUMMER20,0,5,Saturday,1,1,1,15,3,Winter,21,1,380.08,380.08,0.0,0,0.0,0.075,0.0,190.03990498004748,0.04846348124483404,0.034203325525670056
2023-02-02 16:00:00,341.47,4,35.37,1.45,Clothing,PayPal,Standard,WELCOME10,0,3,Thursday,2,1,0,16,5,Winter,8,1,341.47,341.47,0.0,0,0.087,0.0763,0.0,85.36747865813034,0.10358157348059396,0.004246346665164299
2023-01-23 10:00:00,307.06,4,41.43,13.87,Clothing,PayPal,Express,FLASHSALE,0,0,Monday,1,1,0,10,4,Winter,19,1,307.06,307.06,0.0,0,0.0,0.0763,0.0,76.7649808087548,0.13492476996377004,0.045170324870805946
2023-01-01 07:00:00,441.63,2,42.52,10.21,Clothing,Credit Card,Next Day,FLASHSALE,0,6,Sunday,1,1,1,7,52,Winter,39,2,672.81,336.4,0.0,0,0.087,0.0763,0.0,220.81488959255518,0.09627969092616062,0.02311890038466839
2023-01-03 13:00:00,231.18,3,25.9,14.32,Books,Bank Transfer,Next Day,FLASHSALE,0,1,Tuesday,1,1,0,13,1,Winter,39,2,672.81,336.4,0.0,0,0.087,0.0964,0.0,77.0599743133419,0.11203391248363218,0.061943074392494704
2023-01-02 10:00:00,60.23,4,16.87,13.55,Sports,Credit Card,Next Day,0,0,0,Monday,1,1,0,10,1,Winter,23,2,410.85,205.42,0.0,0,0.087,0.075,0.0,15.05749623562594,0.2800929722714101,0.22497094097674017
2023-01-19 04:00:00,350.62,3,20.41,2.62,Sports,Bank Transfer,Next Day,SUMMER20,0,3,Thursday,1,1,0,4,3,Winter,23,2,410.85,205.42,0.0,0,0.1667,0.075,0.0,116.87329437556853,0.05821116862069714,0.007472477304567688
2023-01-28 19:00:00,386.92,3,0.27,0.81,Sports,Bank Transfer,Express,WELCOME10,0,5,Saturday,1,1,1,19,4,Winter,13,1,386.92,386.92,0.0,0,0.0,0.075,0.0,128.97329034223654,0.0006978186687226852,0.0020934560061680553
2023-02-03 15:00:00,216.41,4,34.54,2.8,Sports,Bank Transfer,Express,SUMMER20,0,4,Friday,2,1,0,15,5,Winter,8,1,216.41,216.41,0.0,0,0.087,0.075,0.0,54.10248647437838,0.1596044537701379,0.01293840389566839
2023-01-19 14:00:00,144.34,2,48.85,0.27,Electronics,PayPal,Standard,FLASHSALE,0,3,Thursday,1,1,0,14,3,Winter,23,1,144.34,144.34,0.0,0,0.087,0.1162,0.0,72.16996391501804,0.3384370213493348,0.0018705833319205812
2023-01-07 09:00:00,275.24,2,48.01,19.67,Books,PayPal,Express,SUMMER20,0,5,Saturday,1,1,1,9,1,Winter,32,2,406.38,203.19,0.0,0,0.1667,0.0964,0.0,137.6199311900344,0.17442958808883305,0.07146490309742443
2023-01-10 08:00:00,131.14,2,39.02,0.84,Clothing,PayPal,Next Day,FLASHSALE,0,1,Tuesday,1,1,0,8,2,Winter,32,2,406.38,203.19,0.0,0,0.125,0.0763,0.0,65.56996721501638,0.2975446065460988,0.006405368259834008
2023-02-05 12:00:00,454.06,1,49.86,5.76,Home,Credit Card,Express,0,0,6,Sunday,2,1,1,12,5,Winter,6,1,454.06,454.06,0.0,0,0.0,0.075,0.0,454.0595459404541,0.10980927606525728,0.012685548137502646
2023-01-07 15:00:00,409.26,2,35.92,1.06,Home,PayPal,Express,SUMMER20,0,5,Saturday,1,1,1,15,1,Winter,23,2,687.14,343.57,0.5,1,0.087,0.075,0.0,204.62989768505113,0.08776816672098871,0.002590040554683965
2023-01-18 21:00:00,277.88,3,47.24,4.53,Books,Credit Card,Next Day,WELCOME10,1,2,Wednesday,1,1,0,21,3,Winter,23,2,687.14,343.57,0.5,1,0.1667,0.0964,0.0,92.6266357911214,0.17000143885849492,0.016302000805016554
2023-01-04 11:00:00,25.26,2,47.89,10.03,Clothing,PayPal,Express,0,0,2,Wednesday,1,1,0,11,1,Winter,11,2,447.2,223.6,0.0,0,0.0,0.0763,0.0,12.629993685003157,1.8958827436309285,0.397070451422389
2023-01-31 03:00:00,421.94,3,33.1,7.96,Clothing,Bank Transfer,Express,SUMMER20,0,1,Tuesday,1,1,0,3,5,Winter,11,2,447.2,223.6,0.0,0,0.1667,0.0763,0.0,140.64661978446006,0.07844717239785948,0.018865241458820587
2023-01-09 17:00:00,300.25,4,8.76,16.67,Clothing,Credit Card,Express,0,0,0,Monday,1,1,0,17,2,Winter,19,2,762.4,381.2,0.0,0,0.087,0.0763,0.0,75.06248123437969,0.029175686830389052,0.055520399482030316
2023-01-23 08:00:00,462.15,2,17.84,2.57,Electronics,PayPal,Express,0,0,0,Monday,1,1,0,8,4,Winter,19,2,762.4,381.2,0.0,0,0.087,0.1162,0.0,231.07488446255775,0.038602185354101086,0.005560965042603127
2023-01-16 13:00:00,59.7,4,16.62,16.52,Home,PayPal,Next Day,WELCOME10,0,0,Monday,1,1,0,13,3,Winter,9,3,771.61,257.2,0.0,0,0.0,0.075,0.0,14.924996268750933,0.27839195513581316,0.2767169132878239
2023-01-20 19:00:00,348.1,2,30.34,13.53,Home,PayPal,Express,0,0,4,Friday,1,1,0,19,3,Winter,9,3,771.61,257.2,0.0,0,0.087,0.075,0.0,174.04991297504353,0.0871588621454787,0.0388681412270378
2023-02-01 21:00:00,363.81,2,28.31,9.79,Books,Credit Card,Standard,SUMMER20,0,2,Wednesday,2,1,0,21,5,Winter,9,3,771.61,257.2,0.0,0,0.087,0.0964,0.0,181.90490904754546,0.07781534295974453,0.02690965056785231
2023-01-19 07:00:00,361.62,4,12.66,0.9,Clothing,PayPal,Standard,0,0,3,Thursday,1,1,0,7,3,Winter,23,1,361.62,361.62,0.0,0,0.087,0.0763,0.0,90.40497739875565,0.03500912550464818,0.0024888003913257
2023-01-22 18:00:00,435.35,1,7.97,8.88,Clothing,Credit Card,Next Day,WELCOME10,1,6,Sunday,1,1,1,18,3,Winter,4,3,822.75,274.25,0.33,1,0.087,0.0763,0.0,435.3495646504354,0.018307109180413207,0.020397381370397656
2023-02-04 00:00:00,100.39,4,22.76,2.66,Books,Credit Card,Next Day,WELCOME10,0,5,Saturday,2,1,1,0,5,Winter,4,3,822.75,274.25,0.33,1,0.087,0.0964,1.0,25.097493725626567,0.2267158060890945,0.026496662750307175
2023-02-06 17:00:00,287.01,1,39.91,3.97,Electronics,Credit Card,Next Day,0,0,0,Monday,2,1,0,17,6,Winter,4,3,822.75,274.25,0.33,1,0.087,0.1162,0.5,287.009712990287,0.13905438786434482,0.013832270604396117
2023-01-06 08:00:00,79.82,3,22.28,13.14,Home,PayPal,Express,0,0,4,Friday,1,1,0,8,1,Winter,1,3,557.67,185.89,0.0,0,0.087,0.075,0.0,26.60665779778073,0.27912803458872426,0.1646203938283589
2023-01-07 08:00:00,35.47,1,47.19,16.37,Electronics,Bank Transfer,Next Day,0,0,5,Saturday,1,1,1,8,1,Winter,1,3,557.67,185.89,0.0,0,0.087,0.1162,0.0,35.46996453003547,1.3304200357930636,0.4615167617277485
2023-02-10 09:00:00,442.38,3,8.76,17.17,Clothing,Bank Transfer,Standard,FLASHSALE,0,4,Friday,2,1,0,9,6,Winter,1,3,557.67,185.89,0.0,0,0.087,0.0763,0.0,147.45995084668303,0.019801980153257424,0.038812785300391554
2023-02-04 03:00:00,22.84,2,8.49,17.59,Clothing,Credit Card,Express,FLASHSALE,0,5,Saturday,2,1,1,3,5,Winter,7,1,22.84,22.84,0.0,0,0.087,0.0763,0.0,11.419994290002855,0.3717162709406186,0.7701400713598917
2023-01-30 16:00:00,96.94,4,34.62,15.27,Home,Bank Transfer,Express,0,0,0,Monday,1,1,0,16,5,Winter,11,1,96.94,96.94,0.0,0,0.1667,0.075,0.0,24.234993941251513,0.3571281168028872,0.15752011391045892
2023-01-20 13:00:00,368.02,3,10.72,14.29,Clothing,PayPal,Express,0,0,4,Friday,1,1,0,13,3,Winter,22,1,368.02,368.02,0.0,0,0.4,0.0763,0.0,122.67329244223583,0.029128851613692597,0.03882941133952119
2023-01-25 10:00:00,230.39,3,10.98,1.14,Electronics,Credit Card,Express,0,0,2,Wednesday,1,1,0,10,4,Winter,2,3,946.41,315.47,0.0,0,0.0,0.1162,0.0,76.7966410677863,0.04765831829654795,0.0049481314078383114
2023-01-28 02:00:00,478.69,4,21.67,1.61,Home,Credit Card,Next Day,FLASHSALE,0,5,Saturday,1,1,1,2,4,Winter,2,3,946.41,315.47,0.0,0,0.087,0.075,0.0,119.67247008188248,0.045269380924461804,0.0033633457908806416
2023-02-08 20:00:00,237.33,1,18.07,15.64,Clothing,Credit Card,Express,0,0,2,Wednesday,2,1,0,20,6,Winter,2,3,946.41,315.47,0.0,0,0.087,0.0763,0.0,237.32976267023736,0.0761387094925264,0.06589980168583912
2023-01-07 16:00:00,49.26,2,12.37,13.84,Sports,Bank Transfer,Express,WELCOME10,0,5,Saturday,1,1,1,16,1,Winter,34,1,49.26,49.26,0.0,0,0.087,0.075,0.0,24.629987685006157,0.2511165194657629,0.2809581753764073
2023-01-20 06:00:00,271.15,4,35.7,1.39,Electronics,Credit Card,Standard,0,0,4,Friday,1,1,0,6,3,Winter,22,1,271.15,271.15,0.0,0,0.087,0.1162,0.0,67.78748305312922,0.1316614415207028,0.005126313829517559
2023-01-24 03:00:00,61.78,4,41.9,9.57,Books,Bank Transfer,Express,0,0,1,Tuesday,1,1,0,3,4,Winter,18,1,61.78,61.78,0.0,0,0.087,0.0964,0.0,15.444996138750964,0.6782130029424894,0.15490449733077863
2023-01-06 00:00:00,350.54,2,3.81,10.93,Sports,PayPal,Express,SUMMER20,0,4,Friday,1,1,0,0,1,Winter,17,3,740.45,246.82,0.0,0,0.087,0.075,0.0,175.2699123650438,0.010868945025192716,0.03118046433736388
2023-01-13 08:00:00,349.39,4,25.69,13.23,Clothing,Credit Card,Express,WELCOME10,0,4,Friday,1,1,0,8,2,Winter,17,3,740.45,246.82,0.0,0,0.087,0.0763,0.0,87.34747816313045,0.07352814884934272,0.03786599491151437
2023-01-24 23:00:00,40.52,2,44.54,14.6,Clothing,Bank Transfer,Next Day,WELCOME10,0,1,Tuesday,1,1,0,23,4,Winter,17,3,740.45,246.82,0.0,0,0.087,0.0763,0.0,20.259989870005064,1.0992102394074472,0.36031588449368496
2023-01-17 00:00:00,212.64,2,13.89,3.12,Home,Bank Transfer,Standard,0,0,1,Tuesday,1,1,0,0,3,Winter,17,2,292.34,146.17,0.0,0,0.087,0.075,0.0,106.31994684002656,0.0653216701217002,0.014672686161245833
2023-01-24 18:00:00,79.7,4,25.75,6.16,Home,Credit Card,Next Day,FLASHSALE,0,1,Tuesday,1,1,0,18,4,Winter,17,2,292.34,146.17,0.0,0,0.087,0.075,0.0,19.924995018751247,0.32308657060117224,0.07728983591857169
2023-01-26 03:00:00,128.19,3,5.86,10.12,Home,PayPal,Standard,FLASHSALE,0,3,Thursday,1,1,0,3,4,Winter,3,4,835.39,208.85,0.0,0,0.087,0.075,0.0,42.72998575667141,0.04571339382390675,0.07894531493138844
2023-01-26 15:00:00,169.09,2,3.45,8.84,Sports,PayPal,Next Day,SUMMER20,0,3,Thursday,1,1,0,15,4,Winter,3,4,835.39,208.85,0.0,0,0.087,0.075,0.0,84.54495772752114,0.020403335381138237,0.05227985065775711
2023-02-07 01:00:00,132.97,3,3.13,1.76,Sports,Credit Card,Express,WELCOME10,0,1,Tuesday,2,1,0,1,6,Winter,3,4,835.39,208.85,0.0,0,0.087,0.075,0.0,44.32331855889381,0.023539143990831436,0.013236068186537804
2023-02-08 00:00:00,405.14,2,2.85,17.6,Books,PayPal,Standard,SUMMER20,0,2,Wednesday,2,1,0,0,6,Winter,3,4,835.39,208.85,0.0,0,0.087,0.0964,0.0,202.5698987150506,0.0070346053042538255,0.043441773106971
2023-01-02 16:00:00,43.0,4,26.55,16.54,Sports,PayPal,Express,SUMMER20,1,0,Monday,1,1,0,16,1,Winter,39,1,43.0,43.0,1.0,1,0.4,0.075,0.0,10.749997312500671,0.6174418461060036,0.384651153845322
2023-02-02 09:00:00,245.68,4,31.23,1.94,Sports,PayPal,Next Day,SUMMER20,0,3,Thursday,2,1,0,9,5,Winter,9,1,245.68,245.68,0.0,0,0.087,0.075,0.0,61.41998464500384,0.12711657388832395,0.007896450635393803
2023-01-06 20:00:00,204.49,2,35.59,4.29,Sports,Credit Card,Next Day,SUMMER20,0,4,Friday,1,1,0,20,1,Winter,35,1,204.49,204.49,0.0,0,0.087,0.075,0.0,102.24494887752556,0.17404273962520056,0.020979020876429062
2023-01-06 12:00:00,284.23,3,49.06,0.22,Clothing,PayPal,Next Day,0,0,4,Friday,1,1,0,12,1,Winter,36,1,284.23,284.23,0.0,0,0.0,0.0763,0.0,94.74330175223275,0.17260669115643426,0.0007740210365759383
2023-01-28 01:00:00,15.93,3,40.19,11.91,Electronics,Credit Card,Next Day,WELCOME10,0,5,Saturday,1,1,1,1,4,Winter,8,2,515.12,257.56,0.0,0,0.087,0.1162,0.0,5.3099982300005895,2.5229125848767993,0.7476459041025798
2023-02-03 12:00:00,499.19,4,47.08,17.33,Clothing,PayPal,Standard,SUMMER20,0,4,Friday,2,1,0,12,5,Winter,8,2,515.12,257.56,0.0,0,0.2857,0.0763,0.0,124.7974688006328,0.09431278652554581,0.03471624023975592
2023-02-06 05:00:00,335.26,4,10.54,0.45,Home,Credit Card,Next Day,WELCOME10,0,0,Monday,2,1,0,5,6,Winter,5,1,335.26,335.26,0.0,0,0.087,0.075,0.0,83.81497904625523,0.03143828660908463,0.0013422418381487747
2023-01-01 05:00:00,378.83,4,20.83,4.09,Books,Credit Card,Express,0,0,6,Sunday,1,1,1,5,52,Winter,41,1,378.83,378.83,0.0,0,0.087,0.0964,0.0,94.7074763231309,0.05498508551333029,0.010796399411882904
2023-02-04 19:00:00,49.49,3,29.64,14.85,Electronics,Credit Card,Express,WELCOME10,0,5,Saturday,2,1,1,19,5,Winter,6,1,49.49,49.49,0.0,0,0.087,0.1162,0.0,16.49666116777961,0.598908858377271,0.3000606122436732
2023-01-31 21:00:00,206.73,2,44.9,10.83,Home,Bank Transfer,Next Day,WELCOME10,0,1,Tuesday,1,1,0,21,5,Winter,10,1,206.73,206.73,0.0,0,0.087,0.075,0.0,103.36494831752583,0.21719150477825422,0.05238717141978827
2023-01-27 15:00:00,264.02,2,10.17,16.06,Sports,Credit Card,Express,WELCOME10,0,4,Friday,1,1,0,15,4,Winter,8,2,437.8,218.9,0.0,0,0.087,0.075,0.0,132.00993399503298,0.038519808959473496,0.06082872486618921
2023-02-02 23:00:00,173.78,2,26.38,16.61,Books,Credit Card,Next Day,SUMMER20,0,3,Thursday,2,1,0,23,5,Winter,8,2,437.8,218.9,0.0,0,0.3333,0.0964,0.0,86.88995655502171,0.15180112698929032,0.09558061862365853
2023-02-08 08:00:00,380.81,2,15.69,10.0,Electronics,Credit Card,Standard,FLASHSALE,0,2,Wednesday,2,1,0,8,6,Winter,3,1,380.81,380.81,0.0,0,0.0,0.1162,0.0,190.4049047975476,0.04120164900816247,0.026259814536751098
2023-01-04 13:00:00,190.58,3,39.26,9.42,Clothing,Credit Card,Next Day,FLASHSALE,0,2,Wednesday,1,1,0,13,1,Winter,29,2,453.22,226.61,0.0,0,0.087,0.0763,0.0,63.526645491118174,0.2060027274320352,0.04942806144701405
2023-01-12 17:00:00,262.64,4,33.05,3.62,Home,PayPal,Express,SUMMER20,0,3,Thursday,1,1,0,17,2,Winter,29,2,453.22,226.61,0.0,0,0.087,0.075,0.0,65.6599835850041,0.12583764801310673,0.013783125137895504
2023-01-09 23:00:00,74.47,4,29.0,7.1,Electronics,PayPal,Express,FLASHSALE,0,0,Monday,1,1,0,23,2,Winter,14,2,104.89,52.44,0.0,0,0.0,0.1162,0.0,18.617495345626164,0.3894185525793131,0.09534040425217666
2023-01-27 20:00:00,30.42,1,48.4,7.93,Books,Bank Transfer,Next Day,WELCOME10,0,4,Friday,1,1,0,20,4,Winter,14,2,104.89,52.44,0.0,0,0.087,0.0964,0.0,30.419969580030426,1.5910584618323975,0.260683752114275
2023-01-01 14:00:00,88.77,1,30.39,11.02,Books,Bank Transfer,Standard,SUMMER20,0,6,Sunday,1,1,1,14,52,Winter,41,1,88.77,88.77,0.0,0,0.087,0.0964,0.0,88.76991123008877,0.3423453830985087,0.1241410372407228
2023-01-31 06:00:00,299.27,1,38.04,7.66,Electronics,PayPal,Next Day,SUMMER20,0,1,Tuesday,1,1,0,6,5,Winter,1,2,408.26,204.13,0.0,0,0.087,0.1162,0.0,299.2697007302993,0.12710929887021988,0.0255956159134039
2023-02-10 01:00:00,108.99,1,7.15,1.25,Clothing,Credit Card,Next Day,SUMMER20,0,4,Friday,2,1,0,1,6,Winter,1,2,408.26,204.13,0.0,0,0.0,0.0763,0.0,108.98989101010899,0.06560234823743144,0.01146894199955095
2023-02-06 13:00:00,490.84,2,37.96,18.26,Sports,PayPal,Express,0,0,0,Monday,2,1,0,13,6,Winter,5,1,490.84,490.84,0.0,0,0.087,0.075,0.0,245.41987729006132,0.07733681020834324,0.037201531991684605
2023-01-04 03:00:00,322.88,1,15.15,18.57,Sports,Credit Card,Next Day,FLASHSALE,1,2,Wednesday,1,1,0,3,1,Winter,18,2,804.81,402.4,0.5,1,0.087,0.075,0.0,322.8796771203229,0.046921456742686274,0.05751362717568872
2023-01-23 20:00:00,481.93,2,5.13,8.86,Sports,PayPal,Next Day,FLASHSALE,0,0,Monday,1,1,0,20,4,Winter,18,2,804.81,402.4,0.5,1,0.087,0.075,1.0,240.96487951756023,0.010644699415590025,0.01838441263589232
2023-01-28 03:00:00,371.38,2,49.86,18.79,Home,PayPal,Express,0,0,5,Saturday,1,1,1,3,4,Winter,14,1,371.38,371.38,0.0,0,0.087,0.075,0.0,185.6899071550464,0.13425601773316814,0.050595077681633155
2023-01-09 07:00:00,29.65,1,17.93,1.37,Electronics,PayPal,Express,FLASHSALE,0,0,Monday,1,1,0,7,2,Winter,9,3,424.53,141.51,0.0,0,0.2857,0.1162,0.0,29.64997035002965,0.6047217333989298,0.04620573199980668
2023-01-26 20:00:00,235.13,1,12.66,12.98,Home,Credit Card,Next Day,0,0,3,Thursday,1,1,0,20,4,Winter,9,3,424.53,141.51,0.0,0,0.087,0.075,0.0,235.12976487023514,0.053842554953249036,0.055203504209571284
2023-02-01 16:00:00,159.75,4,20.56,1.54,Sports,Bank Transfer,Next Day,WELCOME10,0,2,Wednesday,2,1,0,16,5,Winter,9,3,424.53,141.51,0.0,0,0.087,0.075,0.0,39.937490015627496,0.12870109465601817,0.009640062537464397
2023-01-07 22:00:00,267.94,4,24.94,7.18,Clothing,PayPal,Next Day,0,0,5,Saturday,1,1,1,22,1,Winter,8,7,2301.33,328.76,0.0,0,0.087,0.0763,0.0,66.98498325375418,0.09308054007210369,0.0267970440143426
2023-01-16 17:00:00,160.57,3,32.09,3.13,Clothing,PayPal,Next Day,0,0,0,Monday,1,1,0,17,3,Winter,8,7,2301.33,328.76,0.0,0,0.087,0.0763,0.0,53.523315492228164,0.19985053123341517,0.019493055866643485
2023-01-17 17:00:00,304.79,3,24.15,13.78,Home,Bank Transfer,Standard,WELCOME10,0,1,Tuesday,1,1,0,17,3,Winter,8,7,2301.33,328.76,0.0,0,0.087,0.075,0.0,101.5966328011224,0.07923488277425478,0.04521145692046505
2023-01-20 16:00:00,285.53,2,3.13,13.96,Clothing,Credit Card,Express,WELCOME10,0,4,Friday,1,1,0,16,3,Winter,8,7,2301.33,328.76,0.0,0,0.0,0.0763,0.0,142.76492861753567,0.010962070497103385,0.04889153486887006
2023-01-21 02:00:00,335.81,4,46.64,13.24,Clothing,Credit Card,Standard,WELCOME10,0,5,Saturday,1,1,1,2,3,Winter,8,7,2301.33,328.76,0.0,0,0.087,0.0763,0.0,83.95247901188024,0.13888806128796624,0.03942705684932832
2023-02-01 12:00:00,479.46,3,42.9,18.98,Sports,Credit Card,Express,FLASHSALE,0,2,Wednesday,2,1,0,12,5,Winter,8,7,2301.33,328.76,0.0,0,0.1667,0.075,0.0,159.8199467266844,0.08947565993101476,0.039586201060388355
2023-02-03 13:00:00,467.23,1,8.37,1.19,Electronics,PayPal,Express,SUMMER20,0,4,Friday,2,1,0,13,5,Winter,8,7,2301.33,328.76,0.0,0,0.087,0.1162,0.0,467.2295327704673,0.0179140893822869,0.002546925491627409
2023-01-01 16:00:00,417.75,3,6.83,16.78,Books,Credit Card,Express,SUMMER20,0,6,Sunday,1,1,1,16,52,Winter,13,2,729.11,364.56,0.0,0,0.087,0.0964,0.0,139.2499535833488,0.01634949128342432,0.040167564236582735
2023-01-29 00:00:00,311.36,4,38.33,13.45,Sports,PayPal,Standard,0,0,6,Sunday,1,1,1,0,4,Winter,13,2,729.11,364.56,0.0,0,0.087,0.075,0.0,77.83998054000486,0.12310508696330585,0.043197584650573016
2023-01-01 00:00:00,357.1,4,10.44,15.39,Books,PayPal,Express,0,0,6,Sunday,1,1,1,0,52,Winter,17,2,668.56,334.28,0.0,0,0.1667,0.0964,0.0,89.27497768125558,0.029235508179122068,0.04309717153991271
2023-01-25 03:00:00,311.46,1,11.12,3.8,Books,PayPal,Standard,SUMMER20,0,2,Wednesday,1,1,0,3,4,Winter,17,2,668.56,334.28,0.0,0,0.0,0.0964,0.0,311.45968854031145,0.035702818866940156,0.012200603569637824
2023-01-17 10:00:00,481.83,2,36.89,8.22,Home,Bank Transfer,Express,WELCOME10,0,1,Tuesday,1,1,0,10,3,Winter,20,2,594.0,297.0,0.0,0,0.0,0.075,0.0,240.91487954256021,0.076562272841952,0.017059958871261736
2023-01-22 12:00:00,112.17,4,46.36,4.81,Clothing,PayPal,Express,0,0,6,Sunday,1,1,1,12,3,Winter,20,2,594.0,297.0,0.0,0,0.087,0.0763,0.0,28.04249298937675,0.41330123550591746,0.042881340439677805
2023-01-04 21:00:00,423.94,2,7.04,1.11,Clothing,Bank Transfer,Standard,WELCOME10,0,2,Wednesday,1,1,0,21,1,Winter,16,2,669.8,334.9,0.0,0,0.087,0.0763,0.0,211.96989401505297,0.016606123468872663,0.0026182950355750933
2023-01-25 19:00:00,245.86,2,8.58,18.69,Clothing,Credit Card,Standard,FLASHSALE,0,2,Wednesday,1,1,0,19,4,Winter,16,2,669.8,334.9,0.0,0,0.087,0.0763,0.0,122.92993853503073,0.034897909237379364,0.07601887221988582
2023-01-01 04:00:00,313.12,1,38.38,0.61,Electronics,Bank Transfer,Next Day,FLASHSALE,0,6,Sunday,1,1,1,4,52,Winter,41,1,313.12,313.12,0.0,0,0.087,0.1162,0.0,313.11968688031317,0.12257281514252423,0.0019481348941360025
